"","Var1","Freq"
"1","CBM",6920
"2","CBM-P&A",790
"3","D&A",120764
"4","EOR",18598
"5","EOR-P&A",10024
"6","GAS",23177
"7","GAS-P&A",12503
"11","LOC",21281
"12","O&G",6722
"13","O&G-P&A",2693
"14","OIL",101397
"15","OIL-P&A",100031
"17","OTHER-P&A(2 OIL)",1
"18","OTHER-P&A(CATH)",276
"20","OTHER-P&A(COREHOLE)",1
"21","OTHER-P&A(GAS-INJ)",140
"22","OTHER-P&A(GAS-STG)",34
"23","OTHER-P&A(GSW)",12
"26","OTHER-P&A(LH)",1039
"27","OTHER-P&A(OBS)",80
"29","OTHER-P&A(OIL&GAS-INJ)",22
"30","OTHER-P&A(SHUT-IN)",3
"31","OTHER-P&A(STRAT)",568
"33","OTHER-P&A(WATER)",557
"36","OTHER(2OIL)",2
"37","OTHER(ABD LOC)",43
"38","OTHER(CATH)",1480
"42","OTHER(COREHOLE)",189
"43","OTHER(GAS-INJ)",724
"44","OTHER(GAS-STG)",237
"45","OTHER(GAS INJ)",32
"46","OTHER(GAS SHUT-IN)",1
"47","OTHER(GSW)",48
"48","OTHER(HELIUM)",6
"50","OTHER(LH)",41
"51","OTHER(Monitor)",17
"52","OTHER(MONITOR)",108
"55","OTHER(OBS)",197
"56","OTHER(OBSERVATION)",5
"57","OTHER(OIL&GAS-INJ)",12
"58","OTHER(Oil)",2
"60","OTHER(OIL/GAS)",3
"62","OTHER(SHUT-IN)",8
"63","OTHER(STRAT)",1060
"67","OTHER(WATER)",818
